[[196.5, 447.1], [0.9, -0.3], [0.6, 0.6]]
[[179.0, 448.3], [0.9, -0.3], [0.7, 0.7]]
[[167.6, 449.7], [0.9, -0.3], [0.8, 0.7]]
[[157.6, 451.2], [0.9, -0.3], [0.8, 0.7]]
[[147.1, 451.6], [0.9, -0.3], [0.8, 0.7]]
[[138.7, 452.5], [0.9, -0.2], [1.0, 0.8]]
[[134.7, 454.8], [0.9, -0.2], [1.0, 0.8]]
[[127.8, 456.1], [0.9, -0.2], [1.1, 0.8]]
[[124.1, 456.8], [0.9, -0.2], [1.0, 0.9]]
[[118.8, 458.1], [0.9, -0.2], [1.0, 1.0]]
[[118.2, 459.6], [0.9, -0.2], [1.0, 1.0]]
[[117.6, 461.0], [0.9, -0.2], [1.1, 1.1]]
[[116.4, 461.8], [0.9, -0.2], [1.1, 1.1]]
[[108.2, 460.7], [0.9, -0.2], [1.1, 1.2]]
[[110.9, 461.9], [0.9, -0.2], [1.1, 1.2]]
[[110.5, 463.2], [0.9, -0.2], [1.1, 1.2]]
[[100.5, 461.2], [0.9, -0.2], [1.1, 1.3]]
[[96.9, 459.6], [0.9, -0.1], [1.1, 1.3]]
[[99.8, 463.0], [0.9, -0.2], [1.1, 1.3]]
[[99.4, 462.9], [0.9, -0.2], [1.1, 1.3]]
[[95.9, 465.6], [0.9, -0.1], [1.1, 1.3]]
[[94.6, 464.9], [0.9, -0.1], [1.1, 1.3]]
[[100.3, 467.1], [0.9, -0.2], [1.2, 1.3]]
[[101.9, 468.4], [0.9, -0.2], [1.2, 1.3]]
[[89.4, 465.8], [0.9, -0.1], [1.1, 1.4]]
[[91.9, 466.6], [0.9, -0.1], [1.1, 1.4]]
[[97.7, 470.1], [0.9, -0.2], [1.1, 1.5]]
[[98.0, 477.3], [0.9, -0.2], [1.1, 1.5]]
[[95.2, 472.0], [0.9, -0.2], [1.1, 1.6]]
[[90.8, 470.4], [0.9, -0.1], [1.1, 1.6]]
[[96.1, 473.3], [0.9, -0.2], [1.1, 1.6]]
[[93.8, 472.6], [0.9, -0.2], [1.2, 1.7]]
[[93.1, 473.4], [0.9, -0.2], [1.2, 1.7]]
[[90.7, 473.0], [0.9, -0.2], [1.1, 1.8]]
[[101.2, 476.2], [0.9, -0.2], [1.1, 1.9]]
[[96.3, 476.1], [0.9, -0.2], [1.1, 1.9]]
